name,rate
協和#1,0.0271597734074
協和#2,-0.0204129978065
協和#3,0.0755077632028
協和#4,0.0
台中#1,0.014321961153
台中#2,-0.363505213625
台中#3,0.0387970593294
台中#4,0.865876417277
台中#5,-0.207723844831
台中#6,0.02954845602
台中#7,1.26254154986
台中#8,1.43079316374
台中#9,-0.0173160514583
台中#10,0.46307612589
台中Gas1&2,0.0
台中Gas3&4,0.0
南部CC#1,2.18487326192
南部CC#2,0.0
南部CC#3,0.108828336415
南部CC#4,-0.319912144631
烏來&桂山&粗坑,-0.0489440776133
翡翠#1,0.0145114649917
林口#1,-5.440386839
林口#2,0.0
麥寮#1,0.0
麥寮#2,1.49417487967
麥寮#3,-2.42088597885
國光#1,0.0271020360821
星彰#1,0.0475098302913
星元#1,0.0308922904321
嘉惠#1,-0.0129600784151
