核一#1,25.286333,121.587389,0.0%,2016/12/14 02:50
核一#2,25.286333,121.587389,98.7%,2016/12/14 02:50
核二#1,25.20269,121.662508,0.0%,2016/12/14 02:50
核二#2,25.20269,121.662508,0.0%,2016/12/14 02:50
核三#1,21.95815,120.751737,99.4%,2016/12/14 02:50
核三#2,21.95815,120.751737,98.9%,2016/12/14 02:50
林口#1,25.119493,121.29891,95.2%,2016/12/14 02:50
林口#2,25.119493,121.29891,95.4%,2016/12/14 02:50
台中#1,24.215259,120.489441,95.5%,2016/12/14 02:50
台中#2,24.215259,120.489441,95.6%,2016/12/14 02:50
台中#3,24.215259,120.489441,0.0%,2016/12/14 02:50
台中#4,24.215259,120.489441,96.8%,2016/12/14 02:50
台中#5,24.215259,120.489441,98.2%,2016/12/14 02:50
台中#6,24.215259,120.489441,95.2%,2016/12/14 02:50
台中#7,24.215259,120.489441,96.4%,2016/12/14 02:50
台中#8,24.215259,120.489441,92.5%,2016/12/14 02:50
台中#9,24.215259,120.489441,90.5%,2016/12/14 02:50
台中#10,24.215259,120.489441,0.0%,2016/12/14 02:50
興達#1,22.858936,120.20055,95.6%,2016/12/14 02:50
興達#2,22.858936,120.20055,95.2%,2016/12/14 02:50
興達#3,22.858936,120.20055,94.1%,2016/12/14 02:50
興達#4,22.858936,120.20055,94.4%,2016/12/14 02:50
和平#1,24.309388,121.76179,86.1%,2016/12/14 02:50
和平#2,24.309388,121.76179,88.0%,2016/12/14 02:50
麥寮#1,23.801167,120.212778,0.0%,2016/12/14 02:50
麥寮#2,23.801167,120.212778,95.2%,2016/12/14 02:50
麥寮#3,23.801167,120.212778,95.2%,2016/12/14 02:50
大潭CC#1,25.029623,121.051065,43.0%,2016/12/14 02:50
大潭CC#2,25.029623,121.051065,64.8%,2016/12/14 02:50
大潭CC#3,25.029623,121.051065,43.7%,2016/12/14 02:50
大潭CC#4,25.029623,121.051065,0.0%,2016/12/14 02:50
大潭CC#5,25.029623,121.051065,53.0%,2016/12/14 02:50
大潭CC#6,25.029623,121.051065,53.7%,2016/12/14 02:50
通霄CC#1,24.488168,120.672867,86.3%,2016/12/14 02:50
通霄CC#2,24.488168,120.672867,57.9%,2016/12/14 02:50
通霄CC#3,24.488168,120.672867,53.3%,2016/12/14 02:50
通霄CC#4,24.488168,120.672867,91.9%,2016/12/14 02:50
通霄CC#5,24.488168,120.672867,68.0%,2016/12/14 02:50
通霄CC#6,24.488168,120.672867,43.9%,2016/12/14 02:50
興達CC#1,22.858936,120.20055,49.4%,2016/12/14 02:50
興達CC#2,22.858936,120.20055,76.7%,2016/12/14 02:50
興達CC#3,22.858936,120.20055,76.7%,2016/12/14 02:50
興達CC#4,22.858936,120.20055,81.1%,2016/12/14 02:50
興達CC#5,22.858936,120.20055,76.5%,2016/12/14 02:50
南部CC#1,22.599455,120.302259,80.7%,2016/12/14 02:50
南部CC#2,22.599455,120.302259,0.0%,2016/12/14 02:50
南部CC#3,22.599455,120.302259,40.7%,2016/12/14 02:50
南部CC#4,22.599455,120.302259,88.7%,2016/12/14 02:50
大林#5,22.536001,120.335609,0.0%,2016/12/14 02:50
